MAE,RMSE,MMRE,PRED
157.0202980041504,157.0202980041504,78.90467236389466,0.0
168.58997344970703,168.58997344970703,83.87560868144628,0.0
75.59165573120117,75.59165573120117,69.99227382518627,0.0
370.1956596374512,370.1956596374512,92.5489149093628,0.0
104.49294662475586,104.49294662475586,71.57051138681908,0.0
371.1519088745117,371.1519088745117,92.78797721862793,0.0
40.190372467041016,40.190372467041016,46.73299124074537,0.0
90.15437316894531,90.15437316894531,77.71928721460803,0.0
65.98010635375977,65.98010635375977,55.91534436759302,0.0
374.31836700439453,374.31836700439453,93.57959175109863,0.0
184.6933479309082,184.6933479309082,76.31956526070587,0.0
97.91093444824219,97.91093444824219,56.924961888512904,0.0
195.7522430419922,195.7522430419922,85.85624694824219,0.0
146.51111221313477,146.51111221313477,74.37112295082983,0.0
8.540451049804688,8.540451049804688,13.344454765319824,6.666666666666667
250.58330535888672,250.58330535888672,79.29851435407808,6.25
2.210268020629883,2.210268020629883,9.026914736479185,11.76470588235294
239.3885669708252,239.3885669708252,88.99203233116178,11.11111111111111
133.0609130859375,133.0609130859375,83.16307067871094,10.526315789473683
117.16888427734375,117.16888427734375,71.01144501657197,10.0
32.96180725097656,32.96180725097656,32.31549730487898,9.523809523809524
153.73580169677734,153.73580169677734,82.65365682622438,9.090909090909092
87.68944931030273,87.68944931030273,76.920569570441,8.695652173913043
