,MAE,RMSE,MMRE,PRED
0,76.25988006591797,76.25988006591797,61.49990327896611,0.0
1,54.46144676208496,54.46144676208496,64.07229030833524,0.0
2,128.2993049621582,128.2993049621582,82.24314420651166,0.0
3,30.85703659057617,30.85703659057617,64.92208254066706,0.0
4,159.71379470825195,159.71379470825195,74.63261434965045,0.0
5,11.712539672851562,11.712539672851562,27.182477411840512,0.0
6,208.643798828125,208.643798828125,71.94613752693965,0.0
7,127.1581039428711,127.1581039428711,70.64339107937283,0.0
8,200.1417007446289,200.1417007446289,73.31197829473585,0.0
9,82.40798950195312,82.40798950195312,74.91635409268466,0.0
10,94.18300819396973,94.18300819396973,75.34640655517578,0.0
11,67.09307861328125,67.09307861328125,55.44882530023244,0.0
12,203.8584518432617,203.8584518432617,81.54338073730469,0.0
13,215.3826332092285,215.3826332092285,83.48164077877074,0.0
14,38.78921318054199,38.78921318054199,57.04296055962058,0.0
15,22.703775882720947,22.703775882720947,286.8942727096837,0.0
16,13.72211456298828,13.72211456298828,37.68745532225547,0.0
17,244.69275665283203,244.69275665283203,80.22713332879738,0.0
18,17.807758331298828,17.807758331298828,44.51939582824707,0.0
19,42.44026947021485,42.44026947021485,36.58643919846107,0.0
20,32.39206123352051,32.39206123352051,186.9630601193,0.0
21,259.6628189086914,259.6628189086914,89.84872626598317,0.0
22,96.99952697753906,96.99952697753906,57.39616980919471,0.0
23,200.3869667053223,200.3869667053223,79.5186375814771,0.0
24,143.49772453308103,143.49772453308103,82.94666157981564,0.0
25,196.4428253173828,196.4428253173828,88.48775915197425,0.0
26,13.556435585021973,13.556435585021973,88.36038450538503,0.0
27,32.187541007995605,32.187541007995605,203.65596894681025,0.0
28,10.59646224975586,10.59646224975586,39.45391994109606,0.0
29,104.32666969299316,104.32666969299316,77.27901458740234,0.0
30,84.6059341430664,84.6059341430664,62.67106232819734,0.0
31,59.31462860107422,59.31462860107422,64.47242239247197,0.0
32,89.16784858703613,89.16784858703613,74.30654048919678,0.0
33,51.71199417114258,51.71199417114258,66.29742842454178,0.0
34,44.690673828125,44.690673828125,45.14209477588384,0.0
35,2.8428211212158203,2.8428211212158203,10.770241538576824,2.7777777777777777
36,57.8374252319336,57.8374252319336,64.26380581325955,2.7027027027027026
37,109.98114395141602,109.98114395141602,65.07759997125207,2.631578947368421
38,40.79594802856445,40.79594802856445,52.302497472518525,2.564102564102564
39,235.9458694458008,235.9458694458008,75.14199663879005,2.5
40,45.18428993225098,45.18428993225098,61.05985125979861,2.4390243902439024
41,11.98531723022461,11.98531723022461,26.055037457010023,2.380952380952381
42,13.161449432373049,13.161449432373049,31.410260086834903,2.3255813953488373
43,30.481365203857425,30.481365203857425,126.18316052811645,2.272727272727273
44,222.0405044555664,222.0405044555664,81.63253840278176,2.2222222222222223
45,31.364532470703125,31.364532470703125,52.27422078450521,2.1739130434782608
46,2.736907958984375,2.736907958984375,14.249921000829616,4.25531914893617
47,211.42199897766116,211.42199897766116,90.3512816143851,4.166666666666666
48,166.16583251953125,166.16583251953125,86.09628627954987,4.081632653061225
49,157.2366828918457,157.2366828918457,83.63653345310942,4.0
50,64.4422721862793,64.4422721862793,63.178698221842446,3.9215686274509802
51,14.17612075805664,14.17612075805664,30.639502642401872,3.8461538461538463
52,82.0222110748291,82.0222110748291,74.56564643166283,3.7735849056603774
53,1.7832069396972656,1.7832069396972656,3.17331929115035,5.555555555555555
54,336.79250717163086,336.79250717163086,90.77965152874148,5.454545454545454
55,62.542850494384766,62.542850494384766,67.25037687568253,5.357142857142857
56,1.1140365600585938,1.1140365600585938,2.1872187926550466,7.017543859649122
57,132.47307968139648,132.47307968139648,70.09157655100343,6.896551724137931
58,273.7401237487793,273.7401237487793,90.34327516461364,6.779661016949152
59,156.0430679321289,156.0430679321289,74.66175499144924,6.666666666666667
60,13.722381591796877,13.722381591796877,112.5202046623798,6.557377049180328
61,3.1639270782470703,3.1639270782470703,12.49088207452938,8.064516129032258
