MAE,RMSE,MMRE
235.94586944580078,235.94586944580078,75.14199663879005
45.18428993225098,45.18428993225098,61.05985125979861
11.98531723022461,11.98531723022461,26.055037457010023
13.161449432373047,13.161449432373047,31.410260086834903
30.481365203857422,30.481365203857422,126.18316052811645
222.0405044555664,222.0405044555664,81.63253840278176
31.364532470703125,31.364532470703125,52.27422078450521
2.736907958984375,2.736907958984375,14.249921000829616
211.42199897766113,211.42199897766113,90.3512816143851
166.16583251953125,166.16583251953125,86.09628627954987
