MAE,RMSE,MMRE,PRED
5.676976612636021,7.956126810467692,6.7487410814776805,95.91836734693877
9.238479205540248,17.005418779920202,6.873036070259583,95.45454545454544
6.273644906503183,7.962284007197185,3.6780092255201993,96.6346153846154
10.86116217438286,17.41595760735944,7.291242100427731,96.02122015915118
8.517458620938388,10.90257355974103,4.714289059258046,96.9199178644764
10.26170421096514,12.940387640606758,6.220594115472132,97.47048903878584
15.385765953497453,19.278008183708767,9.250086092588251,97.00910273081924
7.852625873601325,10.468402300715354,5.878764399327312,97.26027397260276
12.242827456421647,24.510946954090944,11.690133902104082,89.47368421052632
5.970972101739112,8.623252127430298,5.39621107142593,91.28440366972477
10.457214638038918,16.072612281520847,7.830648197714943,92.27941176470588
7.560371186998156,11.207166668188938,4.249853556629151,94.47368421052632
11.334886618221507,15.988878687226153,5.204498580983873,95.26881720430107
6.41993287893442,10.736513734257109,4.432065099766381,95.76427255985267
6.113989169781025,7.732124763761538,6.085889975080702,95.96638655462185
25.722469545760244,36.58924555378901,11.715985971828133,95.21604938271605
